x1,date,monitors,transect_name,vp_axis,site,transect_length,num_quad,transect_distance,transect_side,vp_zone,quadrat_notes,percent_cover,psoc,cover_category,habitat,year
22540,2021-08-04,"Oliver, Hayden",BM-01,NA,ncos,30,11,15,Right,NA,NA,42,Eleocharis_macrostachya,NATIVE COVER,Seasonal Brackish Marsh,2021
22541,2021-08-04,"Oliver, Hayden",BM-01,NA,ncos,30,11,15,Right,NA,NA,1,Laennecia_coulteri,NATIVE COVER,Seasonal Brackish Marsh,2021
79658,2021-08-04,"Oliver, Hayden",BM-01,NA,ncos,30,11,15,Right,NA,NA,3,Natural Thatch,THATCH,Seasonal Brackish Marsh,2021
22542,2021-08-04,"Oliver, Hayden",BM-01,NA,ncos,30,11,15,Right,NA,NA,1,Persicaria_lapathafolia,NATIVE COVER,Seasonal Brackish Marsh,2021
22539,2021-08-04,"Oliver, Hayden",BM-01,NA,ncos,30,11,15,Right,NA,NA,6,Symphyotrichum_subulatum,NATIVE COVER,Seasonal Brackish Marsh,2021
22537,2021-08-04,"Oliver, Hayden",BM-01,NA,ncos,30,11,15,Right,NA,NA,33,Xanthium_strumarium,NATIVE COVER,Seasonal Brackish Marsh,2021
54945,2021-08-04,"Oliver, Hayden",BM-01,NA,ncos,30,11,18,Left,NA,NA,4,Atriplex_prostrata,NON-NATIVE COVER,Seasonal Brackish Marsh,2021
1586,2021-08-04,"Oliver, Hayden",BM-01,NA,ncos,30,11,18,Left,NA,NA,2,Bare Ground,BARE GROUND,Seasonal Brackish Marsh,2021
21545,2021-08-04,"Oliver, Hayden",BM-01,NA,ncos,30,11,18,Left,NA,NA,1,Distichlis_spicata,NATIVE COVER,Seasonal Brackish Marsh,2021
21543,2021-08-04,"Oliver, Hayden",BM-01,NA,ncos,30,11,18,Left,NA,NA,73,Eleocharis_macrostachya,NATIVE COVER,Seasonal Brackish Marsh,2021
54946,2021-08-04,"Oliver, Hayden",BM-01,NA,ncos,30,11,18,Left,NA,NA,1,Lythrum_hyssopifolia,NON-NATIVE COVER,Seasonal Brackish Marsh,2021
79659,2021-08-04,"Oliver, Hayden",BM-01,NA,ncos,30,11,18,Left,NA,NA,2,Natural Thatch,THATCH,Seasonal Brackish Marsh,2021
21544,2021-08-04,"Oliver, Hayden",BM-01,NA,ncos,30,11,18,Left,NA,NA,3,Symphyotrichum_subulatum,NATIVE COVER,Seasonal Brackish Marsh,2021
21542,2021-08-04,"Oliver, Hayden",BM-01,NA,ncos,30,11,18,Left,NA,NA,18,Xanthium_strumarium,NATIVE COVER,Seasonal Brackish Marsh,2021
1587,2021-08-04,"Oliver, Hayden",BM-01,NA,ncos,30,11,21,Right,NA,NA,0,Bare Ground,BARE GROUND,Seasonal Brackish Marsh,2021
17432,2021-08-04,"Oliver, Hayden",BM-01,NA,ncos,30,11,21,Right,NA,NA,2,Cyperus_eragrostis,NATIVE COVER,Seasonal Brackish Marsh,2021
17429,2021-08-04,"Oliver, Hayden",BM-01,NA,ncos,30,11,21,Right,NA,NA,35,Distichlis_spicata,NATIVE COVER,Seasonal Brackish Marsh,2021
17428,2021-08-04,"Oliver, Hayden",BM-01,NA,ncos,30,11,21,Right,NA,NA,1,Epilobium_brachycarpum,NATIVE COVER,Seasonal Brackish Marsh,2021
50786,2021-08-04,"Oliver, Hayden",BM-01,NA,ncos,30,11,21,Right,NA,NA,18,Festuca_myuros,NON-NATIVE COVER,Seasonal Brackish Marsh,2021
50787,2021-08-04,"Oliver, Hayden",BM-01,NA,ncos,30,11,21,Right,NA,NA,5,Festuca_perennis,NON-NATIVE COVER,Seasonal Brackish Marsh,2021
50789,2021-08-04,"Oliver, Hayden",BM-01,NA,ncos,30,11,21,Right,NA,NA,2,Hordeum_murinum,NON-NATIVE COVER,Seasonal Brackish Marsh,2021
79660,2021-08-04,"Oliver, Hayden",BM-01,NA,ncos,30,11,21,Right,NA,NA,7,Natural Thatch,THATCH,Seasonal Brackish Marsh,2021
50788,2021-08-04,"Oliver, Hayden",BM-01,NA,ncos,30,11,21,Right,NA,NA,1,Plantago_coronopus,NON-NATIVE COVER,Seasonal Brackish Marsh,2021
50785,2021-08-04,"Oliver, Hayden",BM-01,NA,ncos,30,11,21,Right,NA,NA,20,Polypogon_monspeliensis,NON-NATIVE COVER,Seasonal Brackish Marsh,2021
17430,2021-08-04,"Oliver, Hayden",BM-01,NA,ncos,30,11,21,Right,NA,NA,8,Salicornia_pacifica,NATIVE COVER,Seasonal Brackish Marsh,2021
17431,2021-08-04,"Oliver, Hayden",BM-01,NA,ncos,30,11,21,Right,NA,NA,1,Symphyotrichum_subulatum,NATIVE COVER,Seasonal Brackish Marsh,2021
1588,2021-08-04,"Oliver, Hayden",BM-01,NA,ncos,30,11,24,Left,NA,NA,0,Bare Ground,BARE GROUND,Seasonal Brackish Marsh,2021
12675,2021-08-04,"Oliver, Hayden",BM-01,NA,ncos,30,11,24,Left,NA,NA,95,Distichlis_spicata,NATIVE COVER,Seasonal Brackish Marsh,2021
46190,2021-08-04,"Oliver, Hayden",BM-01,NA,ncos,30,11,24,Left,NA,NA,2,Festuca_myuros,NON-NATIVE COVER,Seasonal Brackish Marsh,2021
46189,2021-08-04,"Oliver, Hayden",BM-01,NA,ncos,30,11,24,Left,NA,NA,6,Festuca_perennis,NON-NATIVE COVER,Seasonal Brackish Marsh,2021
46191,2021-08-04,"Oliver, Hayden",BM-01,NA,ncos,30,11,24,Left,NA,NA,1,Hordeum_murinum,NON-NATIVE COVER,Seasonal Brackish Marsh,2021
79661,2021-08-04,"Oliver, Hayden",BM-01,NA,ncos,30,11,24,Left,NA,NA,2,Natural Thatch,THATCH,Seasonal Brackish Marsh,2021
12676,2021-08-04,"Oliver, Hayden",BM-01,NA,ncos,30,11,24,Left,NA,NA,1,Salicornia_pacifica,NATIVE COVER,Seasonal Brackish Marsh,2021
1589,2021-08-04,"Oliver, Hayden",BM-01,NA,ncos,30,11,27,Right,NA,NA,1,Bare Ground,BARE GROUND,Seasonal Brackish Marsh,2021
68043,2021-08-04,"Oliver, Hayden",BM-01,NA,ncos,30,11,27,Right,NA,NA,1,Bromus_hordeaceus,NON-NATIVE COVER,Seasonal Brackish Marsh,2021
68045,2021-08-04,"Oliver, Hayden",BM-01,NA,ncos,30,11,27,Right,NA,NA,1,Cynodon_dactylon,NON-NATIVE COVER,Seasonal Brackish Marsh,2021
34573,2021-08-04,"Oliver, Hayden",BM-01,NA,ncos,30,11,27,Right,NA,NA,89,Distichlis_spicata,NATIVE COVER,Seasonal Brackish Marsh,2021
68042,2021-08-04,"Oliver, Hayden",BM-01,NA,ncos,30,11,27,Right,NA,NA,5,Festuca_perennis,NON-NATIVE COVER,Seasonal Brackish Marsh,2021
34574,2021-08-04,"Oliver, Hayden",BM-01,NA,ncos,30,11,27,Right,NA,NA,1,Frankenia_salina,NATIVE COVER,Seasonal Brackish Marsh,2021
68044,2021-08-04,"Oliver, Hayden",BM-01,NA,ncos,30,11,27,Right,NA,NA,1,Hordeum_murinum,NON-NATIVE COVER,Seasonal Brackish Marsh,2021
79662,2021-08-04,"Oliver, Hayden",BM-01,NA,ncos,30,11,27,Right,NA,NA,10,Natural Thatch,THATCH,Seasonal Brackish Marsh,2021
1590,2021-08-04,"Oliver, Hayden",BM-01,NA,ncos,30,11,30,Left,NA,NA,5,Bare Ground,BARE GROUND,Seasonal Brackish Marsh,2021
60580,2021-08-04,"Oliver, Hayden",BM-01,NA,ncos,30,11,30,Left,NA,NA,2,Bromus_catharticus,NON-NATIVE COVER,Seasonal Brackish Marsh,2021
60584,2021-08-04,"Oliver, Hayden",BM-01,NA,ncos,30,11,30,Left,NA,NA,6,Cynodon_dactylon,NON-NATIVE COVER,Seasonal Brackish Marsh,2021
27101,2021-08-04,"Oliver, Hayden",BM-01,NA,ncos,30,11,30,Left,NA,NA,1,Distichlis_spicata,NATIVE COVER,Seasonal Brackish Marsh,2021
60582,2021-08-04,"Oliver, Hayden",BM-01,NA,ncos,30,11,30,Left,NA,NA,3,Festuca_myuros,NON-NATIVE COVER,Seasonal Brackish Marsh,2021
60581,2021-08-04,"Oliver, Hayden",BM-01,NA,ncos,30,11,30,Left,NA,NA,8,Festuca_perennis,NON-NATIVE COVER,Seasonal Brackish Marsh,2021
27102,2021-08-04,"Oliver, Hayden",BM-01,NA,ncos,30,11,30,Left,NA,NA,1,Frankenia_salina,NATIVE COVER,Seasonal Brackish Marsh,2021
60579,2021-08-04,"Oliver, Hayden",BM-01,NA,ncos,30,11,30,Left,NA,NA,1,Helminthotheca_echioides,NON-NATIVE COVER,Seasonal Brackish Marsh,2021
60583,2021-08-04,"Oliver, Hayden",BM-01,NA,ncos,30,11,30,Left,NA,NA,7,Hordeum_murinum,NON-NATIVE COVER,Seasonal Brackish Marsh,2021
79663,2021-08-04,"Oliver, Hayden",BM-01,NA,ncos,30,11,30,Left,NA,NA,70,Natural Thatch,THATCH,Seasonal Brackish Marsh,2021
1625,2021-08-09,"Carlo C, Hayden H",FSP-01,NA,ncos,42,15,0,Left,NA,NA,1,Bare Ground,BARE GROUND,Seasonal Freshwater Pond,2021
19740,2021-08-09,"Carlo C, Hayden H",FSP-01,NA,ncos,42,15,0,Left,NA,NA,5,Distichlis_spicata,NATIVE COVER,Seasonal Freshwater Pond,2021
79698,2021-08-09,"Carlo C, Hayden H",FSP-01,NA,ncos,42,15,0,Left,NA,NA,4,Natural Thatch,THATCH,Seasonal Freshwater Pond,2021
19739,2021-08-09,"Carlo C, Hayden H",FSP-01,NA,ncos,42,15,0,Left,NA,NA,95,Salicornia_pacifica,NATIVE COVER,Seasonal Freshwater Pond,2021
1626,2021-08-09,"Carlo C, Hayden H",FSP-01,NA,ncos,42,15,3,Right,NA,NA,25,Bare Ground,BARE GROUND,Seasonal Freshwater Pond,2021
24002,2021-08-09,"Carlo C, Hayden H",FSP-01,NA,ncos,42,15,3,Right,NA,NA,2,Juncus_bufonius,NATIVE COVER,Seasonal Freshwater Pond,2021
79699,2021-08-09,"Carlo C, Hayden H",FSP-01,NA,ncos,42,15,3,Right,NA,NA,2,Natural Thatch,THATCH,Seasonal Freshwater Pond,2021
24000,2021-08-09,"Carlo C, Hayden H",FSP-01,NA,ncos,42,15,3,Right,NA,NA,4,Salicornia_pacifica,NATIVE COVER,Seasonal Freshwater Pond,2021
24001,2021-08-09,"Carlo C, Hayden H",FSP-01,NA,ncos,42,15,3,Right,NA,NA,75,Schoenoplectus_californicus,NATIVE COVER,Seasonal Freshwater Pond,2021
1627,2021-08-09,"Carlo C, Hayden H",FSP-01,NA,ncos,42,15,6,Left,NA,NA,26,Bare Ground,BARE GROUND,Seasonal Freshwater Pond,2021
19240,2021-08-09,"Carlo C, Hayden H",FSP-01,NA,ncos,42,15,6,Left,NA,NA,3,Juncus_bufonius,NATIVE COVER,Seasonal Freshwater Pond,2021
79700,2021-08-09,"Carlo C, Hayden H",FSP-01,NA,ncos,42,15,6,Left,NA,NA,2,Natural Thatch,THATCH,Seasonal Freshwater Pond,2021
19239,2021-08-09,"Carlo C, Hayden H",FSP-01,NA,ncos,42,15,6,Left,NA,NA,1,Salicornia_pacifica,NATIVE COVER,Seasonal Freshwater Pond,2021
19238,2021-08-09,"Carlo C, Hayden H",FSP-01,NA,ncos,42,15,6,Left,NA,NA,70,Schoenoplectus_californicus,NATIVE COVER,Seasonal Freshwater Pond,2021
1628,2021-08-09,"Carlo C, Hayden H",FSP-01,NA,ncos,42,15,9,Right,NA,NA,3,Bare Ground,BARE GROUND,Seasonal Freshwater Pond,2021
79701,2021-08-09,"Carlo C, Hayden H",FSP-01,NA,ncos,42,15,9,Right,NA,NA,5,Natural Thatch,THATCH,Seasonal Freshwater Pond,2021
38611,2021-08-09,"Carlo C, Hayden H",FSP-01,NA,ncos,42,15,9,Right,NA,NA,1,Salicornia_pacifica,NATIVE COVER,Seasonal Freshwater Pond,2021
38610,2021-08-09,"Carlo C, Hayden H",FSP-01,NA,ncos,42,15,9,Right,NA,NA,71,Schoenoplectus_californicus,NATIVE COVER,Seasonal Freshwater Pond,2021
98241,2021-08-09,"Carlo C, Hayden H",FSP-01,NA,ncos,42,15,9,Right,NA,NA,31,algae,OTHER COVER,Seasonal Freshwater Pond,2021
1629,2021-08-09,"Carlo C, Hayden H",FSP-01,NA,ncos,42,15,12,Left,NA,NA,6,Bare Ground,BARE GROUND,Seasonal Freshwater Pond,2021
79702,2021-08-09,"Carlo C, Hayden H",FSP-01,NA,ncos,42,15,12,Left,NA,NA,0,Natural Thatch,THATCH,Seasonal Freshwater Pond,2021
33578,2021-08-09,"Carlo C, Hayden H",FSP-01,NA,ncos,42,15,12,Left,NA,NA,1,Salicornia_pacifica,NATIVE COVER,Seasonal Freshwater Pond,2021
33577,2021-08-09,"Carlo C, Hayden H",FSP-01,NA,ncos,42,15,12,Left,NA,NA,30,Schoenoplectus_californicus,NATIVE COVER,Seasonal Freshwater Pond,2021
96575,2021-08-09,"Carlo C, Hayden H",FSP-01,NA,ncos,42,15,12,Left,NA,NA,68,algae,OTHER COVER,Seasonal Freshwater Pond,2021
1630,2021-08-09,"Carlo C, Hayden H",FSP-01,NA,ncos,42,15,15,Right,NA,NA,2,Bare Ground,BARE GROUND,Seasonal Freshwater Pond,2021
79703,2021-08-09,"Carlo C, Hayden H",FSP-01,NA,ncos,42,15,15,Right,NA,NA,0,Natural Thatch,THATCH,Seasonal Freshwater Pond,2021
96562,2021-08-09,"Carlo C, Hayden H",FSP-01,NA,ncos,42,15,15,Right,NA,NA,98,algae,OTHER COVER,Seasonal Freshwater Pond,2021
1631,2021-08-09,"Hayden, Carlo",FSP-01,NA,ncos,42,15,18,Left,NA,NA,4,Bare Ground,BARE GROUND,Seasonal Freshwater Pond,2021
40524,2021-08-09,"Hayden, Carlo",FSP-01,NA,ncos,42,15,18,Left,NA,NA,29,Bolboschoenus_maritimus,NATIVE COVER,Seasonal Freshwater Pond,2021
79704,2021-08-09,"Hayden, Carlo",FSP-01,NA,ncos,42,15,18,Left,NA,NA,0,Natural Thatch,THATCH,Seasonal Freshwater Pond,2021
98888,2021-08-09,"Hayden, Carlo",FSP-01,NA,ncos,42,15,18,Left,NA,NA,68,algae,OTHER COVER,Seasonal Freshwater Pond,2021
1632,2021-08-09,"Hayden, Carlo",FSP-01,NA,ncos,42,15,21,Right,NA,NA,4,Bare Ground,BARE GROUND,Seasonal Freshwater Pond,2021
19962,2021-08-09,"Hayden, Carlo",FSP-01,NA,ncos,42,15,21,Right,NA,NA,21,Bolboschoenus_maritimus,NATIVE COVER,Seasonal Freshwater Pond,2021
53293,2021-08-09,"Hayden, Carlo",FSP-01,NA,ncos,42,15,21,Right,NA,NA,8,Crypsis_schoenoides,NON-NATIVE COVER,Seasonal Freshwater Pond,2021
19963,2021-08-09,"Hayden, Carlo",FSP-01,NA,ncos,42,15,21,Right,NA,NA,6,Juncus_bufonius,NATIVE COVER,Seasonal Freshwater Pond,2021
79705,2021-08-09,"Hayden, Carlo",FSP-01,NA,ncos,42,15,21,Right,NA,NA,0,Natural Thatch,THATCH,Seasonal Freshwater Pond,2021
92034,2021-08-09,"Hayden, Carlo",FSP-01,NA,ncos,42,15,21,Right,NA,NA,76,algae,OTHER COVER,Seasonal Freshwater Pond,2021
1633,2021-08-09,"Hayden, Carlo",FSP-01,NA,ncos,42,15,24,Left,NA,NA,1,Bare Ground,BARE GROUND,Seasonal Freshwater Pond,2021
41250,2021-08-09,"Hayden, Carlo",FSP-01,NA,ncos,42,15,24,Left,NA,NA,5,Bolboschoenus_maritimus,NATIVE COVER,Seasonal Freshwater Pond,2021
74826,2021-08-09,"Hayden, Carlo",FSP-01,NA,ncos,42,15,24,Left,NA,NA,3,Crypsis_schoenoides,NON-NATIVE COVER,Seasonal Freshwater Pond,2021
41249,2021-08-09,"Hayden, Carlo",FSP-01,NA,ncos,42,15,24,Left,NA,NA,5,Juncus_bufonius,NATIVE COVER,Seasonal Freshwater Pond,2021
79706,2021-08-09,"Hayden, Carlo",FSP-01,NA,ncos,42,15,24,Left,NA,NA,0,Natural Thatch,THATCH,Seasonal Freshwater Pond,2021
99146,2021-08-09,"Hayden, Carlo",FSP-01,NA,ncos,42,15,24,Left,NA,NA,91,algae,OTHER COVER,Seasonal Freshwater Pond,2021
74827,2021-08-09,"Hayden, Carlo",FSP-01,NA,ncos,42,15,24,Left,NA,NA,1,unlisted,NON-NATIVE COVER,Seasonal Freshwater Pond,2021
1634,2021-08-09,"Hayden, Carlo",FSP-01,NA,ncos,42,15,27,Right,NA,NA,2,Bare Ground,BARE GROUND,Seasonal Freshwater Pond,2021
13629,2021-08-09,"Hayden, Carlo",FSP-01,NA,ncos,42,15,27,Right,NA,NA,1,Bolboschoenus_maritimus,NATIVE COVER,Seasonal Freshwater Pond,2021
47071,2021-08-09,"Hayden, Carlo",FSP-01,NA,ncos,42,15,27,Right,NA,NA,1,Crypsis_schoenoides,NON-NATIVE COVER,Seasonal Freshwater Pond,2021
13631,2021-08-09,"Hayden, Carlo",FSP-01,NA,ncos,42,15,27,Right,NA,NA,5,Juncus_bufonius,NATIVE COVER,Seasonal Freshwater Pond,2021
79707,2021-08-09,"Hayden, Carlo",FSP-01,NA,ncos,42,15,27,Right,NA,NA,0,Natural Thatch,THATCH,Seasonal Freshwater Pond,2021
13630,2021-08-09,"Hayden, Carlo",FSP-01,NA,ncos,42,15,27,Right,NA,NA,4,Salicornia_pacifica,NATIVE COVER,Seasonal Freshwater Pond,2021
89948,2021-08-09,"Hayden, Carlo",FSP-01,NA,ncos,42,15,27,Right,NA,NA,94,algae,OTHER COVER,Seasonal Freshwater Pond,2021
1635,2021-08-09,"Hayden, Carlo",FSP-01,NA,ncos,42,15,30,Left,NA,NA,97,Bare Ground,BARE GROUND,Seasonal Freshwater Pond,2021
79708,2021-08-09,"Hayden, Carlo",FSP-01,NA,ncos,42,15,30,Left,NA,NA,0,Natural Thatch,THATCH,Seasonal Freshwater Pond,2021
